23,"t","Watershed: Released July 25, 2019, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
23,"t","Table 1.  Summary by Hydrologic Unit Code: 2017 and 2012 (continued)"
23,"t","[For meaning of abbreviations and symbols, see introductory text.]"
23,"h","","","","","","","",""
23,"h","","","","","H04","H04","",""
23,"h","","","United States","United States","Great Lakes","Great Lakes","H040101","H040101"
23,"h","","","","","","","",""
23,"h","Item","","2017","2012","2017","2012","2017","2012"
23,"h","","","","","","","",""
23,"d","FARMS AND LAND IN FARMS","",,,,,,
23,"d","","",,,,,,
23,"d","Farms","number",2042220,2109303,117539,124901,97,93
23,"d","Land in farms","acres",900217576,914527657,24313044,24617645,7888,11147
23,"d","","",,,,,,
23,"d","LAND USE AND PRACTICES","",,,,,,
23,"d","","",,,,,,
23,"d","Total cropland","farms",1475627,1551654,100149,106523,78,66
23,"d","","acres",396433817,389690414,19231922,18680656,2456,3366
23,"d","  Harvested cropland","farms",1245548,1288875,87879,91272,78,60
23,"d","","acres",320041858,314964600,17557684,17361600,1748,3051
23,"d","  Other pasture and grazing land that could have been used","",,,,,,
23,"d","   for crops without additional improvement","farms",137707,141537,9704,10080,14,4
23,"d","","acres",13825975,12802847,274327,235459,284,40
23,"d","  Cropland idle or used for cover crops or soil-improvement","",,,,,,
23,"d","   but not harvested and not pastured or grazed","farms",374252,381453,26124,26866,11,12
23,"d","","acres",36003378,36382032,989160,848537,"(D)",94
23,"d","  Cropland on which all crops failed","",,,,,,
23,"d","   or were abandoned","farms",79334,97248,6825,6051,6,6
23,"d","","acres",9542580,11395368,242937,163011,"(D)",85
23,"d","  Cropland in summer fallow (see text)","farms",94106,61442,6549,3532,8,7
23,"d","","acres",17020026,14145567,167814,72049,"(D)",96
23,"d","Total woodland","farms",794789,840399,60333,66362,65,67
23,"d","","acres",73092054,77012907,2821792,3195016,2508,4654
23,"d","  Woodland pastured","farms",326279,350761,9969,11333,19,32
23,"d","","acres",26009273,27999006,241008,283900,155,1482
23,"d","  Woodland not pastured","farms",575911,606279,55555,60812,57,53
23,"d","","acres",47082781,49013901,2580784,2911116,2353,3172
23,"d","Permanent pasture and rangeland, other than cropland","",,,,,,
23,"d"," and woodland pastured","farms",1130063,1176156,45046,48535,42,45
23,"d","","acres",400771178,415309280,932186,1118606,862,2006
23,"d","Land in farmsteads, homes, buildings, livestock facilities,","",,,,,,
23,"d"," ponds, roads, wasteland, etc.","farms",1183307,1338485,79289,92044,76,70
23,"d","","acres",29920527,32515057,1327144,1623367,2062,1121
23,"d","Irrigated land","farms",294235,296303,9672,9354,30,12
23,"d","","acres",58013907,55822231,934827,808629,36,26
23,"d","  Harvested cropland","farms",255348,261281,9199,9096,30,12
23,"d","","acres",53959077,52092384,928373,803665,36,26
23,"d","  Pastureland and other land","farms",64450,60330,592,387,-,-
23,"d","","acres",4054830,3729847,6454,4964,-,-
23,"d","Cropland on which no-till practices were used","farms",279370,278290,22876,22663,10,4
23,"d","","acres",104452339,96476496,4290822,4152889,"(D)","(D)"
23,"d","Cropland on which reduced tillage, excluding","",,,,,,
23,"d"," no till, practices were used (see text)","farms",217069,195738,20898,17467,5,-
23,"d","","acres",97753854,76639804,5428100,4227322,31,-
