100,"t","Watershed: Released July 25, 2019, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
100,"t","Table 1.  Summary by Hydrologic Unit Code: 2017 and 2012 (continued)"
100,"t","[For meaning of abbreviations and symbols, see introductory text.]"
100,"h","","","","","","","",""
100,"d","Nursery, greenhouse, floriculture, and sod (see text)","farms",48643,54557,317,331,72,65
100,"d","","acres",859246,892089,2168,3097,463,738
100,"d","All other crops (other than those listed above)","farms",908673,931925,11703,11197,2257,1917
100,"d","","acres",75154871,72024554,930089,897739,121717,116490
100,"d","LIVESTOCK AND POULTRY","",,,,,,
100,"d","","",,,,,,
100,"d","Cattle and calves inventory","farms",882692,913246,9943,10304,1179,1044
100,"d","","number",93648041,89994614,763695,749991,105997,80987
100,"d","Hogs and pigs inventory","farms",66439,63246,663,606,102,100
100,"d","","number",72381007,66026785,7024,5243,557,921
100,"d","Sheep and lambs inventory (see text)","farms",101387,88338,4866,5003,178,159
100,"d","","number",5391252,5364844,335989,386644,37778,40638
100,"d","Total horses and ponies inventory","farms",459526,504795,11470,11382,1514,1456
100,"d","","number",2847289,3621348,66965,77820,11288,11942
100,"d","Goats, all inventory","farms",136442,128456,3507,3584,298,203
100,"d","","number",2698636,2621514,47792,43418,5725,2451
100,"d","Chickens, all inventory (see text)","farms",256036,221779,3688,3013,697,496
100,"d","","number",2127170289,1974854740,"(D)","(D)","(D)","(D)"
100,"c",""
100,"c","--continued"
