PUBLICATION_DATE,UID,SITE_ID,DATE_COL,VISIT_NO,YEAR,SAMPLE_TYPE,SAM_CODE,SAMPLE_CAT,AL,AL_ALERT,ANC,ANC_ALERT,CA,CA_ALERT,CL,CL_ALERT,COLOR,COLOR_ALERT,COND,COND_ALERT,DOC,DOC_ALERT,K,K_ALERT,MG,MG_ALERT,SODIUM,SODIUM_ALERT,NH4,NH4_ALERT,NO2,NO2_ALERT,NO3,NO3_ALERT,NO3NO2,NO3NO2_ALERT,NTL,NTL_ALERT,PHLAB,PHLAB_ALERT,PTL,PTL_ALERT,SIO2,SIO2_ALERT,SO4,SO4_ALERT,TSS,TSS_ALERT,TURB,TURB_ALERT,CHEM_COM,HUC_8,XLAT_DD,XLON_DD,AGGR_ECO9_2015
17-Feb-15,10858,FW08NV004,9-Jul-08,1,2008,CHEMW,REGULAR,P,0.0003,S,3190.82,S,51.68,S,0.74,S,8.0,HS,300.1,S,1.15,HS,1.028,S,5.166,S,3.1180000000000003,S,0.011,RS,0.0,RS,0.0,RS,,,91.0,HS,8.58,HS,13.2125,HS,15.925999999999998,S,3.3,S,4.2,S,1.49,HRS,,16040101,40.90332,-115.22452,['XER']
17-Feb-15,10871,FW08NV004,7-Aug-08,2,2008,CHEMW,REGULAR,P,0.0003,S,3471.92,S,57.76,S,0.91,S,3.0,HRS,337.4,S,0.72,S,1.1440000000000001,S,5.817,S,3.718,S,0.002,RS,0.00047000000000000004,RS,0.03235,S,,,118.0,S,8.43,HS,15.7469,S,15.897,S,4.9,S,0.0,S,6.2,HS,REPEAT,16040101,40.9032,-115.22411000000001,['XER']
17-Feb-15,10872,FW08NV005,12-Jun-08,1,2008,CHEMW,REGULAR,P,0.0003,S,3980.48,S,51.94,S,1.98,HS,3.0,HRS,434.3,HS,0.5,S,1.25,S,20.74,S,4.772,S,0.001,RS,0.0,RS,0.13709000000000002,HS,,,168.0,S,8.62,HS,18.155,S,12.195,S,39.74,HS,4.1,S,0.445,HRS,,16060004,39.217909999999996,-117.05944,['XER']
17-Feb-15,10875,FW08NV006,24-Jun-08,1,2008,CHEMW,REGULAR,P,0.0144,S,660.34,S,23.59,S,0.6,S,13.0,S,417.7,S,1.52,S,0.769,S,33.68,S,2.4819999999999998,S,0.01,RS,0.0,RS,0.0325,S,,,242.0,S,7.91,HS,31.205,S,8.369,S,157.64,S,4.1,S,3.12,S,,17050105,41.41792,-116.03426,['XER']
17-Feb-15,10876,FW08NV008,15-Jul-08,1,2008,CHEMW,REGULAR,P,0.0005,S,938.25,HS,14.5,S,0.46,HS,11.0,S,107.3,S,1.0,S,1.192,S,2.5469999999999997,S,1.944,S,0.001,RS,0.0,RS,0.0036299999999999995,HRS,,,119.0,HS,7.94,S,28.8438,HS,14.565,S,4.0,HS,1.2,S,1.03,RS,,17040213,41.71519,-115.22894,['XER']
17-Feb-15,10885,FW08NV009,10-Jun-08,1,2008,CHEMW,REGULAR,P,0.0031,S,1669.52,HS,26.04,S,21.23,S,4.0,RS,264.4,S,0.62,S,1.9240000000000002,S,5.171,S,15.84,S,0.004,RS,0.0,RS,0.44778,S,,,658.0,HS,8.29,HS,23.4713,HS,40.905,S,7.95,S,19.8,S,4.63,S,,15010013,38.32783,-114.27723999999999,['XER']
17-Feb-15,10886,FW08NV010,25-Jun-08,1,2008,CHEMW,REGULAR,P,0.0003,S,4884.46,S,73.68,S,4.68,S,5.0,HS,489.3,S,1.45,S,2.474,S,12.95,S,8.215,S,0.002,RS,0.0,RS,0.0,RS,,,105.0,HS,8.31,HS,31.54,HS,21.198,HS,15.15,S,0.8,S,1.27,HRS,,17050102,41.80657,-115.70508999999998,['XER']
17-Feb-15,10887,FW08NV011,25-Jun-08,1,2008,CHEMW,REGULAR,P,0.0135,,1764.63,,15.42,,3.87,,23.0,,213.8,,3.27,,6.394,,7.371,,13.92,,0.023,,0.00336,R,0.01204,R,,,482.0,,8.6,H,134.94,,48.117,,9.87,,6.9,,5.39,,,16040106,41.214040000000004,-116.89885,['XER']
17-Feb-15,10888,FW08NV012,3-Jun-08,1,2008,CHEMW,REGULAR,P,0.0188,,514.15,,4.481,,4.78,H,5.0,,92.43,,1.22,,1.96,,1.52,H,9.883,,0.004,R,0.0,R,1.04716,H,,,1296.0,H,7.72,,30.745,H,33.467,,6.07,H,10.1,,11.8,,,17120008,41.92159,-119.44321000000001,['XER']
17-Feb-15,10889,FW08NV014,26-Jun-08,1,2008,CHEMW,REGULAR,P,0.0003,S,2843.04,S,37.46,S,4.26,S,13.0,HS,307.6,S,1.22,S,1.016,S,5.0089999999999995,S,18.36,S,0.003,RS,,,0.19585,S,,,293.0,HS,8.29,HS,29.761,HS,30.041999999999998,HS,12.56,S,4.0,S,1.44,HRS,,16040103,40.74095,-115.55271,['XER']
17-Feb-15,10890,FW08NV015,27-Jun-08,1,2008,CHEMW,REGULAR,P,0.0029,S,1651.39,S,16.32,S,11.66,HS,6.0,HS,255.6,S,3.56,S,7.465,S,5.888,S,24.82,S,0.004,RS,0.0,RS,0.0,HRS,,,346.0,HS,8.12,HS,284.1338,HS,55.263999999999996,HS,21.32,HS,12.8,S,7.64,HS,,16040101,41.01598,-116.08259,['XER']
17-Feb-15,10893,FW08NV019,22-Jul-08,1,2008,CHEMW,REGULAR,P,0.0025,S,3518.25,S,36.91,S,21.41,HS,8.0,S,490.82,S,2.3,S,8.495,S,12.71,S,47.24,S,0.007,RS,0.0,RS,0.0,HRS,,,256.0,HS,8.58,S,23.51,HS,19.387,HS,41.94,HS,9.3,S,2.77,S,,16040105,40.70406,-116.52433,['XER']
17-Feb-15,10895,FW08NV019,11-Aug-08,2,2008,CHEMW,REGULAR,P,0.0049,S,3688.57,S,38.76,S,26.94,HS,15.0,HS,538.62,S,1.8,S,10.12,S,13.93,S,54.21,S,0.005,RS,0.0,RS,0.0,HRS,,,271.0,HS,8.63,HS,19.2163,HS,28.445999999999998,HS,53.03,HS,4.3,S,5.11,HS,REPEAT,16040105,40.70391,-116.52406,['XER']
17-Feb-15,10896,FW08NV022,4-Jun-08,1,2008,CHEMW,REGULAR,P,0.0035,,4027.78,,37.39,,21.48,,40.0,,486.6,,8.92,,7.2010000000000005,,11.81,H,52.88,,0.013999999999999999,R,0.0,R,0.0,R,,,690.0,H,8.55,,174.9388,H,52.111000000000004,,25.04,,6.7,,6.06,,,16040201,41.77108,-117.80573999999999,['XER']
