Year,HUC_CODE,HUC_NAME,Tons_N_Farm_Fert,Tons_P2O5_Farm_Fert,Tons_K2O_Farm_Fert,Tons_N_Exc,Tons_P2O5_Exc,Tons_K2O_Exc,Tons_N_Recovered,Tons_P2O5_Recovered,Tons_K2O_Recovered,Tons_N_Fixed_Legumes,Tons_N_Rem,Tons_P2O5_Rem,Tons_K2O_Rem,BalanceN_Tons,BalanceP2O5_Tons,BalanceK2O_Tons,RatioN,RatioP2O5,RatioK2O,N_PPCA,P2O5_PPCA,K2O_PPCA,FarmNPPCA,FarmP2O5PPCA,FarmK2OPPCA,TotalPlantedAc,TotalHarvestedAc,TotalCropland,OtherCropAcres
2014,5100101,'' Licking '',5100.574879,3038.760771,3983.276722,6556.350178,4788.276639,5531.186053,379.214796,517.9279418,1033.225554,3230.647749,12109.9064,4359.589156,13646.41473,-3399.468972,-802.9004434,-8629.91245,1.390275345,1.225743805,2.720304701,-20.50046439,-4.841883272,-52.04260264,30.75896693,18.32521712,24.02111132,,280381.7011,331647.9965,25604.55574
2014,5100102,'' South Fork Licking '',2827.86768,1165.617332,2347.463947,4265.504358,3080.703581,3598.541501,140.9351814,256.4385423,672.2075522,1783.568451,7176.488321,2620.043639,8465.837074,-2424.117008,-1197.987765,-5446.165575,1.510085776,1.842433681,2.803562267,-22.63206529,-11.18466527,-50.84654513,26.40156632,10.88244811,21.91641622,,176420.6047,214219.6903,7871.26636
2014,5100201,'' North Fork Kentucky '',73.48171913,75.47813895,66.39679401,137.5180859,93.64746977,116.0154809,2.837665961,4.883743243,21.67169183,25.20916906,167.7919044,61.33834869,206.0126669,-66.26335021,19.0235335,-117.944181,1.652657282,0.763276656,2.339232529,-13.22016451,3.795374693,-23.5309786,14.66029732,15.05860194,13.24678781,,3642.554374,10024.58784,1029.475929
2014,5100202,'' Middle Fork Kentucky '',10.01630494,9.152960533,9.762265107,21.32174277,14.93819947,17.98783211,0.444931262,0.82716358,3.360127039,2.179110872,26.38671498,10.38583429,38.56817093,-13.74636791,-0.405710179,-25.44577879,2.087499247,1.040651817,2.939111292,-16.52000506,-0.487571281,-30.58003373,12.03731846,10.99977502,11.73202042,,849.2196872,1664.20868,26.11575659
2014,5100203,'' South Fork Kentucky '',75.09403597,54.79404129,70.03470756,185.3359875,140.6454368,156.356479,5.105791656,9.047115971,29.20739029,49.54173814,308.5266105,112.154663,381.4952573,-178.7850447,-48.31350572,-282.2531595,2.378008995,1.756776785,3.844086992,-25.37361435,-6.85677185,-40.0580643,10.65753073,7.776505436,9.93949837,,6917.312067,14092.20163,1606.472223
2014,5100204,'' Upper Kentucky '',305.3236303,192.1460653,258.1626186,1266.331855,918.9134911,1068.325655,37.45827901,62.82649771,199.5632323,387.0003508,1867.844955,670.9458299,2151.836668,-1138.062695,-415.9732669,-1694.110818,2.559455138,2.63144325,4.701147345,-39.45543246,-14.42135412,-58.73303396,10.585248,6.66150128,8.950225503,,41664.93955,57688.51712,8999.743334
2014,5100205,'' Lower Kentucky '',9065.473632,3150.049512,8133.894976,12983.70434,9424.857641,10953.54616,526.8395303,826.0729945,2046.122423,5867.227641,19656.74792,7009.483141,21873.00586,-4197.20712,-3033.360635,-11692.98846,1.271496235,1.762894159,2.148621658,-15.13086252,-10.93521512,-42.15303078,32.6808831,11.35587659,29.32255739,,485416.9523,554787.5561,19147.74129
2014,5110001,'' Upper Green '',16830.87323,9550.952691,14039.26769,12310.41965,8726.478808,10385.53762,1077.54092,1356.357637,1940.018428,6786.872296,23295.86869,8362.840016,22869.83194,1399.417762,2544.470313,-6890.545829,0.943332596,0.766718812,1.431217376,4.616561483,8.393993529,-22.73133108,55.52363504,31.50778954,46.31436316,,501406.3217,606259.7746,47847.25478
2014,5110002,'' Barren '',19492.85585,10988.31611,13900.86568,13582.40131,8905.210792,11508.09553,993.5853693,1326.259333,2132.119607,7706.822852,23379.98805,8354.034224,19497.43542,4813.276014,3960.541218,-3464.450136,0.829275674,0.67838589,1.216082662,18.30731425,15.0639341,-13.17704972,74.14115387,41.79410353,52.87199726,,475990.6104,525830.9273,58217.65586
2014,5110003,'' Middle Green '',7202.153198,3882.067923,4518.054151,2336.044712,1665.532377,1970.776053,507.0205941,591.631225,368.1409667,3776.769726,9206.805102,3180.688628,6016.547886,2279.138416,1293.01052,-1130.352768,0.801571511,0.710975084,1.231335987,25.83448613,14.65653079,-12.8127729,81.63783544,44.00401013,51.2130402,,158858.9502,176441.5521,29106.97033
