HUC_CODE,Tons_N_Farm_Fert,Tons_P2O5_Farm_Fert,Tons_K2O_Farm_Fert,P_Fert,K_Fert,N_Fert
01010001,571.0164543999999,389.8092545,595.8957283,154423.15745927146,450489.62258224154,518017.44798157306
01010002,89.16193405,60.83423994,93.63347487,24099.51868695236,70785.72097770499,80886.35130876243
01010003,679.1790196000001,463.77021060000004,707.1308227000001,183722.83220485543,534581.9449707791,616140.8830600221
01010004,2411.329132,1646.452618,2512.1720530000002,652243.139288125,1899170.2512219956,2187521.1363475933
01010005,1206.046156,823.5358623999999,1255.6813240000001,326244.1993992015,949279.1756472297,1094106.740821629
01020001,9.780126771,6.202405701,17.68560117,2457.086539467487,13370.090466905183,8872.382348724283
01020002,4.95768217,3.140983499,9.164311373,1244.3023962199193,6928.103316710609,4497.533907855016
01020003,247.5726925,168.38713059999998,268.7821415,66706.65737813749,203195.8944002077,224594.18353107397
01020004,45.07762662,29.06134975,75.00916346,11512.670201171966,56705.97745968951,40893.73768973937
01020005,106.41668090000002,65.56318008,227.8263298,25972.89100796453,172233.81952862252,96539.59537893035
01030001,5.198982763,3.02327561,12.11027211,1197.6723491714968,9155.21231837994,4716.438138055602
01030002,2.3429778669999997,1.160757254,5.80298565,459.83464511726606,4386.9836469151005,2125.5139076788214
01030003,124.2017461,77.52964731,359.3145165,30713.413794320044,271637.22315679106,112673.93619537927
01040001,31.12701278,6.595270735,19.88987299,2612.7202457104054,15036.492042048796,28237.952863421746
01040002,104.11613129999999,76.67180754,181.7596268,30373.580082451266,137407.9755721939,94452.57175016424
01050001,12.37656096,8.015552781,20.38674912,3175.3657845069556,15412.124102564481,11227.82797918541
01050002,69.26380378,34.13166107,296.37323169999996,13521.276908932638,224054.40910426513,62835.06997939855
01050003,16.24825566,8.782916712,70.4503112,3479.3574413940514,53259.54289659147,14740.17056126597
01050004,0.062891143,0.031315823,0.265979956,12.405781058991442,201.07747765655736,57.0538889842264
01060001,72.67075942,27.61724184,128.3897777,10940.586032826213,97061.04567068248,65925.80835028081
01060002,159.3512871,34.91746461,144.525235,13832.573427392983,109259.24700702334,144561.0655175561
01060003,403.0523809,72.78005534,233.5188977,28831.860239129623,176537.32875516248,365642.99355629034
01070001,89.35969957,14.33287003,30.16619952,5677.974598948273,22805.26473192608,81065.76118247054
01070002,66.82187436,10.58274513,22.8375261,4192.360490921407,17264.880456269402,60619.78872690173
01070003,174.4584863,28.01678851,59.34908439,11098.866672963602,44867.156043771065,158266.08700236824
01070004,431.08874460000004,89.44951519,218.2556281,35435.47622171926,164998.49027231074,391077.1565522021
01070005,239.34894930000002,50.96020764,127.0542747,20187.915185961516,96051.4223190538,217133.72870093066
01070006,683.3579416,120.1737187,275.0274189,47606.88688389334,207917.2450077606,619931.9375788077
01080101,175.59082859999998,30.31981697,65.72035552,12011.212704788672,49683.75631528341,159293.33072532527
01080102,254.9316961,47.11576575,92.93063194,18664.937348803756,70254.3806253021,231270.1597401393
01080103,277.46805639999997,46.51071806,100.7705155,18425.2473629334,76181.23329147033,251714.80325162268
01080104,161.17134219999997,23.1701811,63.67512147,9178.880396142917,48137.58527978138,146212.1918394385
01080105,250.78241630000002,37.04500847,104.3990732,14675.401135307971,78924.37695093948,227505.99617463225
01080106,373.3955425,59.96040266,147.45891609999998,23753.347552415533,111477.07275866273,338738.760543754
01080107,256.078116,43.141436799999994,112.1539374,17090.504679091977,84786.95605785961,232310.17444783682
01080201,865.0964328,208.06502759999998,491.4982096,82425.07879925784,371566.42081361177,784802.3343703814
01080202,83.37415858,18.36074154,43.58148326,7273.618184199384,32947.04931243871,75635.76937656559
01080203,328.194184,79.92709328,189.9351771,31663.163376331067,143588.5880420234,297732.7751732032
01080204,424.8057428,91.14263805,221.54574130000003,36106.207803869715,167485.77417674358,385377.31282086944
01080205,696.0427424,108.586949,238.97084469999996,43016.781489596164,180658.9316291671,631439.3960555955
01080206,296.219668,66.19587893,161.9035048,26223.535016566057,122396.99885107254,268725.9802706464
01080207,194.8210421,30.89269746,70.18289411,12238.159636118171,53057.37896383461,176738.68811328008
01090001,379.34121360000006,76.18791568,198.49444530000002,30181.886047413827,150059.28638382623,344132.5829914734
01090002,1198.55442,254.28867799999998,641.9688827,100736.60414571807,485320.3437153526,1087310.3517968159
01090003,257.7697099,52.47427523,123.1573811,20787.71392125437,93105.42011810606,233844.76272168953
01090004,1649.948365,335.4814643,777.5521517000001,132901.17253043785,587819.5776912785,1496808.077512852
01090005,949.3162048,189.8440938,393.4188786,75206.84553062632,297419.68891580444,861205.2313882471
01100001,524.2439166,94.77188056,205.1129292,37543.93428447489,155062.7763780968,475586.1126319877
01100002,279.6490347,44.47800915,93.27581659,17619.988574297342,70515.3358483632,253693.35361451257
01100003,264.4908105,44.29634434,89.66665032,17548.02195668735,67786.85186434929,239942.04302528044
01100004,172.80917409999998,25.30715639,55.45451604,10025.444370406494,41922.91170237016,156769.85604407365
01100005,1182.103102,208.3176332,547.1258562999999,82525.1486510984,413620.21710195346,1072385.9661672495
01100006,129.8846996,11.32835947,48.88832048,4487.736034986924,36958.951030820586,117829.4252296861
01110000,799.2594274,92.93506447,275.3903613,36816.27854768736,208191.6248648902,725076.0037939836
02010001,798.6678457,194.5335186,488.55961720000005,77064.5638272652,369344.8821813822,724539.3298677854
02010002,1459.455093,309.4593619,558.0196490000001,122592.5018923053,421855.78639511275,1323995.4766521866
02010003,501.185832,104.1905926,185.43415530000001,41275.16240598798,140185.87257416622,454668.1687657536
