HUC_8,N_INDEX,PFOR,PWETL,PDEV,PAGT,PAGP,PAGC,PFOR90,PWETL95,Total,HUC_6
15070202,97.13199645996,0.0,0.12439497768865562,1.1486545006946762,1.7193406051206765,0.3293848508643192,1.389958271960835,0.12307338953004364,0.0013215859793143999,2.992392601208486,150702
15070203,99.29739426121817,0.015440659943223939,0.02152853340587243,0.5723074656826582,0.1302966122536624,0.02343379048576061,0.10686291656526849,0.03462589830583061,0.0023432909087696967,0.7395733660827837,150702
15080101,99.55839335123667,0.7096776236089253,1.4620191864518903,0.13164846512181835,0.3099595885741666,0.0009874009255629334,0.3089721889253018,2.1716962827224404,0.0,2.6133048650334985,150801
15080102,99.67866706847501,0.024397714994836665,0.13788484626761835,0.2869239201149167,0.034405934313908336,0.016795132542020003,0.017610800219733335,0.16228259401396833,0.0,0.48361241413912504,150801
15080103,99.9914002852,0.007482981817290908,0.0,0.0020235727795181817,0.006570921702812726,0.0,0.006570921702812726,0.007482981817290908,0.0,0.016077476299621817,150801
15080200,99.7702503204375,2.0479874052049998,0.01911585894409,0.215494003146875,0.0142497790511675,0.0,0.0142497790511675,2.067101910714125,0.0,2.296847046347132,150802
15080301,87.78080759822431,7.95293281871573,0.00624644850708108,3.282729905300572,8.936468846490998,0.3691955288570564,8.567264438884676,7.959150734734973,2.7459190302702703e-05,20.178369140265115,150803
15080302,99.65522715251332,2.641897722830453,0.1769210562110533,0.14254546960186665,0.202224445187702,0.002274960015588,0.199949505273222,2.6538615872463596,0.16495641594104,3.163588713932183,150803
15080303,99.80914878845,4.5999748706925,0.004923074971875,0.0,0.19082917738705002,0.0014658922591479998,0.1893631750718,4.604897379885,0.0,4.7957270129953224,150803
16010101,90.84030441616953,17.890353665725183,1.8256681126892014,0.8332819591846279,8.32641568493992,8.244083299193418,0.08233144146175782,18.59711016001489,1.1189142452227847,28.875718478254186,160101
16010102,92.18324508666498,21.462458392982,2.7377291581618897,0.6527394473547,7.164023154596966,6.294443066380444,0.8695775423438924,22.2042116403685,1.9959743966829318,32.01694760722293,160101
16010201,81.09757788976111,30.137453556057764,4.286498332499148,2.726928134809867,16.17549305119175,9.004081650950377,7.171411714589769,30.881270269554722,3.5426807580391704,53.32637338890692,160102
